Designator,Mid X,Mid Y,Rotation,Layer
BZ1,141.5796,-54.991,0.0,top
C1,143.6941,-84.3942,180.0,top
D1,149.6822,-79.883,180.0,top
J1,126.4142,-91.368,0.0,top
J2,135.2729,-56.807,180.0,top
J3,145.3651,-91.3072,0.0,top
L1,148.5201,-83.9624,0.0,top
R1,139.827,-76.2508,0.0,top
RV1,129.1865,-78.5922,0.0,top
RV2,126.4729,-83.5814,0.0,top
U1,139.2428,-68.6308,90.0,top
U2,154.2391,-50.0888,180.0,bottom
Y1,129.1461,-73.3974,180.0,top
